latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8943,70.8528,312.2,4.1,1.9,2002-01-01,0525,Terra,MODIS,72,6.03,281.8,93.5,D,0
34.8894,70.8491,307.2,4.1,1.9,2002-01-01,0525,Terra,MODIS,65,6.03,281.4,73.8,D,0
34.8878,70.882,302.5,4,1.9,2002-01-01,0525,Terra,MODIS,53,6.03,284,51.5,D,0
34.8974,70.8601,422.1,1,1,2002-01-02,0608,Terra,MODIS,100,6.03,298.2,422.1,D,0
34.8959,70.8708,344,1,1,2002-01-02,0608,Terra,MODIS,93,6.03,286.5,51.3,D,0
34.8885,70.8583,318.6,1,1,2002-01-02,0608,Terra,MODIS,79,6.03,284.5,18.8,D,0
34.8512,70.8621,326.7,1,1,2002-01-02,0608,Terra,MODIS,85,6.03,283.2,27.4,D,0
34.8497,70.8727,304.5,1,1,2002-01-02,0608,Terra,MODIS,59,6.03,283.9,8.1,D,0
34.8969,70.8674,308.2,1.3,1.1,2002-01-02,1710,Terra,MODIS,74,6.03,278.4,18.8,N,0
34.8946,70.8542,312.2,1.3,1.1,2002-01-02,1710,Terra,MODIS,84,6.03,278.1,23.3,N,0
34.9,70.8571,302.1,1.3,1.1,2002-01-04,0556,Terra,MODIS,51,6.03,280.2,10.6,D,0
34.8984,70.8711,302.6,1.3,1.1,2002-01-04,0556,Terra,MODIS,53,6.03,281.1,10.3,D,0
34.852,70.8504,318.5,1.9,1.3,2002-01-05,0638,Terra,MODIS,79,6.03,282.6,50.3,D,0
34.8475,70.8723,335,1.9,1.3,2002-01-05,0638,Terra,MODIS,89,6.03,282.3,99.9,D,0
34.8432,70.8636,321,1.9,1.3,2002-01-05,0638,Terra,MODIS,81,6.03,282,53.4,D,0
34.8435,70.8627,301,3.1,1.7,2002-01-06,1646,Terra,MODIS,36,6.03,273.4,47.3,N,0
34.8536,70.8629,318.8,1.3,1.1,2002-01-07,0626,Terra,MODIS,79,6.03,282.2,26.9,D,0
37.3679,66.5368,311.7,2.7,1.6,2002-01-08,0708,Terra,MODIS,42,6.03,285.6,41.8,D,0
37.3638,66.5284,305.6,2.7,1.6,2002-01-08,0708,Terra,MODIS,37,6.03,285.2,25.8,D,0
35.4903,71.4989,307.9,1.1,1,2002-01-11,0601,Terra,MODIS,66,6.03,283.9,12.2,D,0
35.4888,71.5105,300.6,1.1,1,2002-01-11,0601,Terra,MODIS,33,6.03,283.4,7,D,0
34.4986,60.7313,302.2,1,1,2002-01-28,0645,Terra,MODIS,51,6.03,284.9,5.1,D,0
37.5721,69.5368,311.6,1.2,1.1,2002-01-30,0631,Terra,MODIS,71,6.03,286.7,15.4,D,0
33.5619,65.4852,300.2,1.8,1.3,2002-02-11,0656,Terra,MODIS,27,6.03,283,9.5,D,0
37.5816,69.7987,300.3,1,1,2002-02-24,1728,Terra,MODIS,25,6.03,271.3,8.1,N,0
37.1541,68.5356,306,1.1,1,2002-02-26,0612,Terra,MODIS,60,6.03,290.1,5.3,D,0
37.5135,65.8383,320.9,1.2,1.1,2002-03-05,0618,Terra,MODIS,57,6.03,296.2,20.2,D,0
37.5116,65.846,338.4,1.2,1.1,2002-03-05,0618,Terra,MODIS,0,6.03,297.3,49.9,D,0
37.1505,68.4949,339.4,1,1,2002-03-05,0618,Terra,MODIS,0,6.03,298,38.6,D,0
37.3658,66.5554,317.5,1.4,1.2,2002-03-08,0649,Terra,MODIS,77,6.03,291.7,22.5,D,0
37.3611,66.5483,311.8,1.4,1.2,2002-03-08,0649,Terra,MODIS,0,6.03,291.6,12.5,D,0
37.3506,66.2091,306.5,1.1,1,2002-03-12,0624,Terra,MODIS,0,6.03,288.5,4.7,D,0
37.2017,68.6922,319,1.5,1.2,2002-03-17,0643,Terra,MODIS,0,6.03,296.5,24.3,D,0
32.8348,64.398,318.2,1,1,2002-04-11,0638,Terra,MODIS,64,6.03,293.3,11.3,D,0
32.8332,64.4088,313.6,1,1,2002-04-11,0638,Terra,MODIS,35,6.03,291.2,6.4,D,0
33.4947,69.6113,329.6,1.2,1.1,2002-05-19,0601,Terra,MODIS,70,6.03,305.2,22.7,D,0
33.4926,69.6117,328.5,2.2,1.4,2002-05-20,0644,Terra,MODIS,73,6.03,298.7,67.1,D,0
34.8466,70.859,303.5,1.1,1,2002-05-22,1733,Terra,MODIS,55,6.03,283.2,9.2,N,0
36.0168,63.9258,305.6,1.8,1.3,2002-05-23,1817,Terra,MODIS,65,6.03,292.8,15.2,N,0
35.0483,70.5362,321,1,1,2002-05-26,0607,Terra,MODIS,37,6.03,305.7,8.6,D,0
34.8565,70.8585,341.7,1,1,2002-05-26,0607,Terra,MODIS,86,6.03,311.2,32.8,D,0
34.8475,70.8569,342.7,1,1,2002-05-26,0607,Terra,MODIS,87,6.03,312.7,35.3,D,0
34.8581,70.8644,347.8,2,1.4,2002-05-27,1752,Terra,MODIS,100,6.03,287.2,161.5,N,0
34.8561,70.8412,312.1,2,1.4,2002-05-27,1752,Terra,MODIS,84,6.03,283,36,N,0
36.3569,64.7281,337.5,1.1,1.1,2002-05-31,0625,Terra,MODIS,42,6.03,320.1,14.6,D,0
35.2216,71.6038,321.2,1.4,1.2,2002-05-31,0625,Terra,MODIS,74,6.03,297.8,21,D,0
35.9317,63.5624,311.2,1.7,1.3,2002-05-31,1728,Terra,MODIS,81,6.03,297,18.1,N,0
36.1462,64.2394,312.6,1.6,1.2,2002-05-31,1728,Terra,MODIS,84,6.03,295.8,17.4,N,0
36.3678,64.6478,336.4,1.1,1,2002-06-05,0643,Terra,MODIS,69,6.03,317.1,12.3,D,0
35.9294,63.6138,311.2,1,1,2002-06-05,1746,Terra,MODIS,82,6.03,296,9.2,N,0
35.9276,63.6023,308.4,1,1,2002-06-05,1746,Terra,MODIS,74,6.03,296,7.1,N,0
35.8202,63.1099,333.9,1.1,1.1,2002-06-07,0631,Terra,MODIS,74,6.03,303.9,25,D,0
36.495,64.6359,309.7,1.2,1.1,2002-06-07,1734,Terra,MODIS,53,6.03,287.6,13,N,0
34.8649,70.9774,336,2.5,1.5,2002-06-08,0536,Terra,MODIS,83,6.03,310.3,90.2,D,0
34.8709,70.9737,335.6,2.5,1.5,2002-06-08,0536,Terra,MODIS,81,6.03,308.4,86.6,D,0
34.8759,70.9663,307.9,3.8,1.8,2002-06-08,1638,Terra,MODIS,65,6.03,289.4,53.6,N,0
34.8674,70.9635,311,3.8,1.8,2002-06-08,1638,Terra,MODIS,81,6.03,288.4,70.3,N,0
34.8725,70.9737,302.9,1,1,2002-06-09,1721,Terra,MODIS,52,6.03,286.1,6.6,N,0
34.9321,70.2224,305.4,1.4,1.2,2002-06-11,1709,Terra,MODIS,62,6.03,290.5,10.7,N,0
34.8697,70.9954,305.9,2,1.4,2002-06-12,1752,Terra,MODIS,66,6.03,291.3,19.7,N,0
34.8673,70.9673,313.9,2,1.4,2002-06-12,1752,Terra,MODIS,88,6.03,289.1,35.1,N,0
35.9827,68.9119,331.1,1,1,2002-06-18,0612,Terra,MODIS,72,6.03,310.5,13.6,D,0
34.8554,70.9444,304.5,1,1,2002-07-02,1727,Terra,MODIS,53,6.03,290.1,5.8,N,0
35.2922,71.3934,363.3,1,1,2002-07-02,1727,Terra,MODIS,100,6.03,294.4,100.2,N,0
35.2908,71.3826,323.8,1,1,2002-07-02,1727,Terra,MODIS,100,6.03,292.9,21.7,N,0
34.8503,70.9354,303.6,1.6,1.2,2002-07-06,1703,Terra,MODIS,56,6.03,286.8,12.1,N,0
35.6961,63.2273,304.7,1.6,1.3,2002-07-10,1817,Terra,MODIS,61,6.03,293.9,9.9,N,0
34.8549,70.942,310,1.3,1.1,2002-07-13,1709,Terra,MODIS,79,6.03,288.8,14.7,N,0
34.8597,70.9432,304.4,1.1,1,2002-07-13,2122,Aqua,MODIS,60,6.03,287.7,7.7,N,0
