latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.28277,42.40796,304.4,0.39,0.37,2012-02-18,2237,N,VIIRS,n,2,294.27,0.63,N,0
11.52135,43.17538,306.88,0.41,0.37,2012-04-01,2231,N,VIIRS,n,2,294.21,0.58,N,0
11.55056,43.08704,307.4,0.39,0.37,2012-10-04,2242,N,VIIRS,n,2,296.49,0.43,N,0
12.37212,42.46058,339.73,0.44,0.38,2012-11-10,1014,N,VIIRS,l,2,311.45,4.5,D,0
11.52415,43.16042,307.85,0.51,0.66,2012-12-15,2152,N,VIIRS,n,2,287.47,1.42,N,0
11.58913,41.95532,334.99,0.37,0.58,2013-02-06,1105,N,VIIRS,n,2,299.99,1.49,D,0
11.52052,43.16311,333.66,0.57,0.69,2013-02-27,1111,N,VIIRS,n,2,298.52,2.49,D,0
11.51966,43.16064,331.45,0.57,0.69,2013-02-27,1111,N,VIIRS,n,2,298.6,1.89,D,0
11.54531,43.08413,331.12,0.51,0.5,2013-03-03,0956,N,VIIRS,l,2,304.02,1.86,D,0
11.5451,43.08262,331.02,0.51,0.5,2013-03-03,0956,N,VIIRS,l,2,303.81,1.42,D,0
10.9515,41.90992,342.96,0.54,0.42,2013-03-11,1046,N,VIIRS,n,2,311.86,3.26,D,0
11.54127,43.07738,367,0.33,0.55,2013-03-14,0950,N,VIIRS,h,2,302.86,4.6,D,0
11.52301,43.17976,343.13,0.39,0.36,2013-07-02,1028,N,VIIRS,l,2,313.93,12.67,D,0
11.62485,41.87337,295.1,0.79,0.78,2013-07-06,2147,N,VIIRS,n,2,284.73,11.54,N,0
11.52129,43.16089,336.2,0.39,0.36,2013-07-18,1028,N,VIIRS,n,2,301.06,2.55,D,0
11.52183,43.16446,338.62,0.39,0.36,2013-07-18,1028,N,VIIRS,n,2,301.02,3.89,D,0
11.70279,42.43608,295.18,0.53,0.42,2013-07-20,2225,N,VIIRS,n,2,281.73,3.48,N,0
11.52545,43.1049,347.07,0.39,0.36,2013-09-20,1029,N,VIIRS,n,2,316.61,11.6,D,0
11.52466,43.16177,329.46,0.38,0.36,2013-11-19,2239,N,VIIRS,n,2,295.35,3.2,N,0
11.52291,43.16116,315.38,0.54,0.42,2014-01-21,2300,N,VIIRS,n,2,291.59,1.37,N,0
11.52295,43.16427,341.54,0.36,0.57,2014-04-25,1105,N,VIIRS,n,2,303.33,1.89,D,0
11.2467,41.82316,331.56,0.38,0.36,2014-05-02,1034,N,VIIRS,l,2,305.44,6.6,D,3
11.24338,41.82368,332.35,0.38,0.36,2014-05-02,1034,N,VIIRS,l,2,305.23,7.63,D,3
11.5254,43.16532,342.39,0.53,0.42,2014-06-13,1048,N,VIIRS,l,2,316.87,23.43,D,0
11.52327,43.16365,347.75,0.53,0.42,2014-06-13,1048,N,VIIRS,n,2,318.82,22.34,D,0
11.54151,43.07814,310.67,0.48,0.4,2014-07-07,2232,N,VIIRS,n,2,294.71,3.85,N,0
11.54518,43.0787,307.32,0.48,0.4,2014-07-07,2232,N,VIIRS,n,2,288.23,2.95,N,0
11.52473,43.16026,309.19,0.51,0.66,2014-08-31,2202,N,VIIRS,n,2,289.45,3.82,N,0
11.52436,43.15989,307.59,0.51,0.66,2014-08-31,2202,N,VIIRS,n,2,289.48,6.53,N,0
11.58336,43.14156,335.31,0.39,0.36,2014-11-10,1037,N,VIIRS,l,2,305.99,2.55,D,0
11.58283,43.13798,330.98,0.39,0.36,2014-11-10,1037,N,VIIRS,l,2,305.01,1.84,D,0
11.54498,43.07978,302.32,0.45,0.39,2015-01-03,2258,N,VIIRS,n,2,291.12,0.52,N,0
11.50983,43.1903,336.01,0.43,0.38,2015-02-19,1041,N,VIIRS,l,2,306.6,4.07,D,0
11.50631,43.19081,337.91,0.43,0.38,2015-02-19,1041,N,VIIRS,n,2,308.81,4.07,D,0
12.41296,42.77842,337.34,0.39,0.36,2015-03-18,1035,N,VIIRS,l,2,310.38,2.59,D,0
11.50881,43.18881,336.49,0.49,0.41,2015-03-19,1016,N,VIIRS,n,2,302.92,5.72,D,0
11.54386,43.07803,306.04,0.41,0.6,2015-04-01,2206,N,VIIRS,n,2,293.54,0.39,N,0
11.54933,43.05749,312.03,0.41,0.37,2015-04-10,2237,N,VIIRS,n,2,296.61,1.12,N,0
11.55277,43.05801,317.99,0.41,0.37,2015-04-10,2237,N,VIIRS,n,2,296.92,1.12,N,0
12.21876,42.73509,343.73,0.43,0.38,2015-04-25,1021,N,VIIRS,n,2,315.13,4.69,D,0
11.09703,41.82014,331.57,0.32,0.55,2015-05-12,1002,N,VIIRS,l,2,304.69,15.85,D,3
11.55083,43.05556,314.11,0.41,0.37,2015-06-13,2236,N,VIIRS,n,2,298.24,0.8,N,0
11.54888,43.09041,308.03,0.46,0.64,2015-07-07,2326,N,VIIRS,n,2,293.75,0.44,N,0
11.67003,42.45316,331.62,0.45,0.47,2015-08-21,1007,N,VIIRS,l,2,306.49,14.2,D,3
11.55454,42.00601,334.76,0.46,0.39,2015-12-09,1044,N,VIIRS,l,2,304.95,2.91,D,0
11.54966,43.04444,311.13,0.53,0.42,2016-02-28,2258,N,VIIRS,n,2,294.07,1.34,N,0
11.54583,43.04377,305.12,0.53,0.42,2016-02-28,2258,N,VIIRS,n,2,293.47,0.85,N,0
11.52258,43.16361,307.52,0.36,0.57,2016-03-14,2316,N,VIIRS,n,2,292.24,0.55,N,0
11.53648,43.07283,308.35,0.41,0.37,2016-04-12,2233,N,VIIRS,n,2,282.99,0.72,N,0
11.2469,41.82497,330.49,0.56,0.51,2016-04-14,1101,N,VIIRS,n,2,299.97,15.78,D,3
11.23426,41.82894,330.6,0.36,0.57,2016-04-19,1107,N,VIIRS,l,2,301.25,12.33,D,3
11.52108,43.16558,341.63,0.35,0.57,2016-06-01,1101,N,VIIRS,n,2,309.94,7.25,D,0
11.52087,43.16581,336.92,0.35,0.57,2016-06-01,1101,N,VIIRS,l,2,309.37,8.71,D,0
11.50171,43.1916,337.38,0.51,0.49,2016-06-15,0958,N,VIIRS,n,2,306.97,12.62,D,0
11.50274,43.1931,340.73,0.51,0.49,2016-06-15,0958,N,VIIRS,n,2,307.29,14.01,D,0
11.52236,43.16259,315.3,0.41,0.37,2016-07-17,2232,N,VIIRS,n,2,298.91,7.89,N,0
11.5214,43.16412,330.88,0.45,0.63,2016-07-24,1107,N,VIIRS,n,2,296.09,2.21,D,0
11.52167,43.16379,331.96,0.45,0.63,2016-07-24,1107,N,VIIRS,n,2,295.74,1.84,D,0
11.47319,43.21338,297.49,0.62,0.54,2016-07-29,2207,N,VIIRS,n,2,287.4,4.53,N,0
11.5296,43.10778,309.5,0.56,0.52,2016-07-31,2310,N,VIIRS,n,2,278.46,1.49,N,0
